B36EC,248.06,93.39
HVM1147,239.34,89.03
HVM1181,208.34,71.01
HVM1299,230.32,83.81
HVM1619,229.73,79.2
HVM1997,226.96,79.54
HVM2044,228.3,84.15
HVM2049,237.66,84.8
HVM2289,234.13,84.87
HVM2757,193.74,67.48
HVM277,231.15,87.62
HVM3017,230.45,81.06
HVM3189,223.01,82.31
HVM5,224.75,82.25
HVM52,241.51,92.49
HVM826,228.55,87.01
HVM834,230.93,83.56
HVR2496,243.23,89.18
HVR83,237.04,85.5
MS2481,254.58,96.52
MS2493,242.37,89.04
P112EC,250.33,92.69
P146EC,246.68,93.75
P189EC,239.14,91.57
P50EC,250.66,93.08
P53EC,251.9,96.01
P56EC,263.23,97.9
S100EC,238.25,84.66
S101EC,240.73,88.81
S102EC,248.44,92.29
S103EC,250.36,93.0
S104EC,241.3,89.47
S105EC,241.83,89.69
S107EC,245.2,90.18
S108EC,233.35,83.71
S109EC,234.0,85.94
S10EC,239.12,88.48
S110EC,234.02,86.66
S111EC,240.13,87.38
S112EC,237.66,88.77
S113EC,235.55,85.22
S114EC,237.41,86.06
S115EC,238.35,86.69
S116EC,245.06,88.33
S117EC,243.83,90.35
S118EC,242.51,91.24
S119EC,236.92,89.55
S11EC,234.17,82.37
S120EC,242.08,88.51
S121EC,238.43,89.26
S122EC,243.38,90.71
S123EC,240.44,87.66
S124EC,240.71,88.17
S125EC,242.17,89.84
S126EC,250.27,92.82
S127EC,244.45,90.73
S128EC,240.2,88.11
S129EC,240.12,88.57
S12EC,239.17,82.78
S130EC,237.33,85.2
S131EC,229.37,83.69
S132EC,238.04,88.73
S133EC,237.83,87.31
S134EC,244.5,92.05
S135EC,240.13,90.12
S15EC,240.74,86.34
S19EC,237.76,83.58
S1EC,237.37,86.11
S21EC,238.97,81.12
S22EC,233.66,81.82
S24EC,232.31,82.97
S26EC,236.61,86.5
S2EC,232.22,81.53
S30EC,228.57,83.94
S31EC,245.04,90.44
S32EC,242.95,90.84
S34EC,241.36,86.61
S37EC,242.57,90.34
S39EC,239.71,87.44
S43EC,243.06,90.35
S47EC,245.19,90.29
S53EC,247.09,91.59
S5EC,242.78,86.93
S65EC,244.02,87.99
S6EC,237.8,89.31
S77EC,240.99,88.36
S79EC,227.59,79.62
S92EC,244.55,89.81
S93EC,239.9,88.54
S94EC,255.28,96.88
S95EC,239.86,91.9
S96EC,239.72,87.09
S97EC,238.37,87.39
S98EC,246.03,90.39
S99EC,244.0,90.51
IR18E,348.16,52.69
IR49,362.0,43.22
IR65,349.1,38.88
IR68,315.3,45.71
