Rec_001,1,8426
Rec_002,15328,15410
Rec_003,40284,54322
Rec_004,71415,71471
Rec_005,82214,82588
Rec_006,132937,133036
Rec_007,166661,168367
Rec_008,180192,186167
Rec_009,321357,336188
Rec_010,340798,354790
Rec_011,362141,362264
Rec_012,369787,371109
Rec_013,376715,376740
Rec_014,455815,459276
Rec_015,464669,466520
Rec_016,468297,469133
Rec_017,515901,516757
Rec_018,518186,518313
Rec_019,541533,541982
Rec_020,548182,550090
Rec_021,571682,571767
Rec_022,590284,600027
Rec_023,612580,613375
Rec_024,695208,698348
Rec_025,845623,857285
Rec_026,986691,988517
Rec_027,990481,995458
Rec_028,1000395,1006750
Rec_029,1014110,1014517
Rec_030,1040573,1040588
Rec_031,1140948,1170178
Rec_032,1170789,1172282
Rec_033,1172295,1179954
Rec_034,1180281,1180543
Rec_035,1181038,1192679
Rec_036,1243459,1248554
Rec_037,1257989,1260535
Rec_038,1305845,1306843
Rec_039,1324922,1327127
Rec_040,1359676,1359705
Rec_041,1380631,1390135
Rec_042,1404927,1406894
Rec_043,1433678,1433755
Rec_044,1437095,1439104
Rec_045,1530245,1530324
Rec_046,1654749,1666140
Rec_047,1748320,1751614
Rec_048,1764416,1764819
Rec_049,1782290,1783064
Rec_050,1792601,1793120
Rec_051,1877344,1889957
Rec_052,1896974,1897123
Rec_053,1921491,1922399
Rec_054,1929850,1930021
Rec_055,1953259,1953993
Rec_056,1966440,1970139
Rec_057,1976031,1976238
Rec_058,1990114,1990353
Rec_059,1990789,1990864
Rec_060,1996964,1997204
Rec_061,1997805,1999596
Rec_062,1999927,2018943
Rec_063,2022367,2022413
Rec_064,2023403,2023483
Rec_065,2023661,2023696
Rec_066,2023951,2024396
Rec_067,2024404,2026967
Rec_068,2032912,2033355
Rec_069,2034425,2104721
Rec_070,2116947,2117200
Rec_071,2119092,2120719
Rec_072,2243277,2243404
Rec_073,2270556,2278500
Rec_074,2406805,2408166
Rec_075,2413168,2415036
Rec_076,2416743,2417136
Rec_077,2417461,2417796
Rec_078,2424830,2425406
Rec_079,2428459,2429193
Rec_080,2646362,2647731
Rec_081,2655180,2658089
Rec_082,2659660,2664015
Rec_083,2804124,2804196
Rec_084,2813247,2814629
Rec_085,2826661,2830901
Rec_086,2846016,2847605
Rec_087,2865189,2875423
Rec_088,2950997,3117188
Rec_089,3117502,3135739
Rec_090,3137000,3152223
Rec_091,3157722,3157774
Rec_092,3162102,3162494
Rec_093,3167486,3169814
Rec_094,3485389,3485524
Rec_095,3496357,3499108
Rec_096,3504362,3504938
Rec_097,3595293,3596115
Rec_098,3613243,3613276
Rec_099,3654721,3655372
Rec_100,3657319,3657369
Rec_101,3719560,3724345
Rec_102,3724508,3724554
Rec_103,3727825,3727847
Rec_104,3732015,3732024
Rec_105,3780895,3798068
Rec_106,3813633,3813672
Rec_107,3857202,3858568
Rec_108,3871436,3899823
Rec_109,3902613,3902653
Rec_110,3905162,3907686
Rec_111,3920405,3920759
Rec_112,3953609,3953891
Rec_113,3960273,3963874
Rec_114,4016977,4017153
Rec_115,4023978,4040006
Rec_116,4051895,4051981
Rec_117,4053615,4053703
Rec_118,4061180,4062406
Rec_119,4065876,4078270
Rec_120,4080033,4080276
Rec_121,4086149,4095514
Rec_122,4236042,4236410
Rec_123,4280103,4288341
Rec_124,4288897,4289182
Rec_125,4309978,4331081
Rec_126,4334006,4335145
Rec_127,4355486,4384733
Rec_128,4394207,4394447
Rec_129,4401054,4401235
Rec_130,4451484,4451831
Rec_131,4468091,4538250
Rec_132,4552689,4555200
Rec_133,4555392,4555521
Rec_134,4559642,4596868
Rec_135,4598398,4604730
Rec_136,4607736,4618632
Rec_137,4624678,4717254
